Start Year,NonCompound_Count,Compound_Count,Total_Count,Compound_pct
2000,806.0,62.0,868.0,0.07142857142857142
2001,712.0,43.0,755.0,0.05695364238410596
2002,778.0,69.0,847.0,0.08146399055489964
2003,583.0,136.0,719.0,0.18915159944367177
2004,599.0,153.0,752.0,0.20345744680851063
2005,652.0,202.0,854.0,0.23653395784543327
2006,604.0,155.0,759.0,0.20421607378129117
2007,546.0,176.0,722.0,0.24376731301939059
2008,498.0,151.0,649.0,0.23266563944530047
2009,491.0,128.0,619.0,0.20678513731825526
2010,541.0,126.0,667.0,0.1889055472263868
2011,489.0,108.0,597.0,0.18090452261306533
2012,467.0,93.0,560.0,0.16607142857142856
2013,449.0,97.0,546.0,0.17765567765567766
2014,416.0,131.0,547.0,0.23948811700182815
2015,458.0,143.0,601.0,0.23793677204658903
2016,404.0,129.0,533.0,0.24202626641651032
2017,383.0,161.0,544.0,0.2959558823529412
2018,364.0,131.0,495.0,0.26464646464646463
2019,464.0,142.0,606.0,0.23432343234323433
2020,352.0,160.0,512.0,0.3125
2021,388.0,201.0,589.0,0.34125636672325976
2022,435.0,160.0,595.0,0.2689075630252101
2023,420.0,191.0,611.0,0.31260229132569556
2024,401.0,199.0,600.0,0.33166666666666667
